Date,Fokontany,Location,AdultDogs,Puppies,Cats,Kittens,Roaming,WillingnessPay,Point,Commune
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,2,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,1,3,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,1,3,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,1,2,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,1,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,,0,1,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,2,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Mireny,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,0,3,An-trano,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,2,0,Mireny,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,2,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,2,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,2,0,0,0,Mireny,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,2,0,1,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,3,0,1,0,,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,2,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,1,0,An-trano,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,0,2,An-trano,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,1,0,Fefy,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,2,0,An-trano,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,0,0,1,0,An-trano,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,3,Mireny,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,3,0,An-trano,5000,Tsarahonenana,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,5000,Tsarahonenana,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,1,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,4,0,1,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,0,2,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,2,0,2,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,0,0,2,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,0,0,1,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,0,0,2,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,0,0,1,0,Fefy,5000,Moramanga Ambony,Moramanga
