REF #,Date,Dog or Cat,Dog Name,Cat Name,Sex,Age (months),Distance Travelled (m),Owner Location,Vaccination Location,Commune,Previous Vaccination,Time Since Previous Vaccine,Last Vaccination Date,Spayed/Neutered
559,05-Nov-19,cat,,Minette,F,6,10,Tsaralalana,Tsaralalana,Moramanga,,,,
560,05-Nov-19,cat,,Mimi,F,6,400,Tsaralalana,Tsaralalana,Moramanga,,,,
561,05-Nov-19,dog,Piwi,,F,12,400,Tsaralalana,Tsaralalana,Moramanga,,,,
562,05-Nov-19,dog,Joly,,F,6,400,Tsaralalana,Tsaralalana,Moramanga,,,,
563,05-Nov-19,dog,Roxie,,M,5,200,Tsaralalana,Tsaralalana,Moramanga,,,,
564,05-Nov-19,dog,Fantom,,M,60,700,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
565,05-Nov-19,dog,Rex,,F,4,500,Tsaralalana,Tsaralalana,Moramanga,,,,
566,05-Nov-19,dog,Boubou,,F,12,70,Tsaralalana,Tsaralalana,Moramanga,,,,
567,05-Nov-19,dog,Booum,,M,18,90,Tsaralalana,Tsaralalana,Moramanga,,,,
568,05-Nov-19,dog,Loupy,,F,24,90,Tsaralalana,Tsaralalana,Moramanga,,,,
569,05-Nov-19,dog,Micky,,M,36,100,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
570,05-Nov-19,dog,Milou,,M,24,100,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
571,05-Nov-19,dog,Milou,,M,24,20,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
572,05-Nov-19,dog,Milou,,F,84,700,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
573,05-Nov-19,dog,Picot,,F,4,100,Tsaralalana,Tsaralalana,Moramanga,,,,
574,05-Nov-19,dog,Bouba,,F,96,80,Tsaralalana,Tsaralalana,Moramanga,,,,
575,05-Nov-19,dog,Rocky,,F,24,400,Tsaralalana,Tsaralalana,Moramanga,,,,
576,05-Nov-19,dog,jix,,M,4,500,Tsaralalana,Tsaralalana,Moramanga,,,,
577,05-Nov-19,dog,Bouba,,M,72,100,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
578,05-Nov-19,dog,bobby,,M,12,400,Tsaralalana,Tsaralalana,Moramanga,,,,
579,05-Nov-19,dog,Lolah,,F,18,700,Tsaralalana,Tsaralalana,Moramanga,,,,
580,05-Nov-19,dog,Fox,,M,6,300,Tsaralalana,Tsaralalana,Moramanga,,,,
581,05-Nov-19,dog,Bobby,,M,4,100,Tsaralalana,Tsaralalana,Moramanga,,,,
582,05-Nov-19,dog,Ramboh,,M,12,400,Tsaralalana,Tsaralalana,Moramanga,,,,
583,05-Nov-19,dog,Minou,,M,60,30,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
584,05-Nov-19,dog,Pitou,,M,36,30,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
585,05-Nov-19,dog,Medor,,M,8,1000,Tsaralalana,Tsaralalana,Moramanga,,,,
586,05-Nov-19,dog,Totoh,,M,6,700,Tsaralalana,Tsaralalana,Moramanga,,,,
587,05-Nov-19,dog,Totoh,,F,6,1000,Tsaralalana,Tsaralalana,Moramanga,,,,
588,05-Nov-19,dog,Milou,,M,24,500,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
589,05-Nov-19,dog,Pilou,,F,5,100,Tsaralalana,Tsaralalana,Moramanga,,,,
590,05-Nov-19,dog,Milou,,M,4,200,Tsaralalana,Tsaralalana,Moramanga,,,,
591,05-Nov-19,dog,Bobby,,M,6,100,Tsaralalana,Tsaralalana,Moramanga,,,,
592,05-Nov-19,dog,Lax,,M,6,100,Tsaralalana,Tsaralalana,Moramanga,,,,
593,05-Nov-19,dog,Micky,,M,60,100,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
594,05-Nov-19,dog,Osky,,M,36,300,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
595,05-Nov-19,dog,Forox,,M,36,50,Tsaralalana,Tsaralalana,Moramanga,,,,
596,05-Nov-19,dog,Bobby,,F,12,50,Tsaralalana,Tsaralalana,Moramanga,,,,
597,05-Nov-19,dog,Roxie,,M,24,100,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
598,05-Nov-19,dog,Kito,,F,24,300,Tsaralalana,Tsaralalana,Moramanga,,,,
599,05-Nov-19,dog,Meguy,,M,4,1000,Tanambao,Tsaralalana,Moramanga,,,,
600,05-Nov-19,dog,Bobby,,F,42,20,Tsaralalana,Tsaralalana,Moramanga,,,,
601,05-Nov-19,dog,Milou,,F,18,200,Tsaralalana,Tsaralalana,Moramanga,,,,
602,05-Nov-19,cat,,Minette,F,24,400,Tsaralalana,Tsaralalana,Moramanga,,,,
603,05-Nov-19,cat,,minoh,F,24,700,Tsaralalana,Tsaralalana,Moramanga,,,,
604,05-Nov-19,cat,,Pounie,F,60,300,Tsaralalana,Tsaralalana,Moramanga,,,,
605,05-Nov-19,cat,,Mimi,M,60,1000,Tanambao,Tsaralalana,Moramanga,YES,19,01-Apr-18,
606,05-Nov-19,cat,,Mimi,F,24,200,Tsaralalana,Tsaralalana,Moramanga,,,,
607,05-Nov-19,cat,,Ngilo,M,6,300,Tsaralalana,Tsaralalana,Moramanga,,,,
608,05-Nov-19,cat,,Mimi,M,12,300,Tsaralalana,Tsaralalana,Moramanga,,,,
609,05-Nov-19,cat,,Mimi,F,12,500,Tsaralalana,Tsaralalana,Moramanga,,,,
610,05-Nov-19,cat,,Mimi,M,60,0,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
611,05-Nov-19,dog,Rocky,,F,24,500,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
612,05-Nov-19,cat,,Mimi,F,24,500,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
613,05-Nov-19,cat,,Dounga,M,6,300,Tsaralalana,Tsaralalana,Moramanga,,,,
614,05-Nov-19,cat,,Borosy,F,48,100,Tsaralalana,Tsaralalana,Moramanga,YES,19,01-Apr-18,
615,05-Nov-19,cat,,Babouche,F,60,500,Tsaralalana,Tsaralalana,Moramanga,,,,
616,05-Nov-19,cat,,mimi,F,4,500,Tsaralalana,Tsaralalana,Moramanga,,,,
617,05-Nov-19,dog,Milou,,F,6,500,Tsaralalana,Tsaralalana,Moramanga,,,,
618,05-Nov-19,cat,,Minouh,M,6,1000,Tsaralalana,Tsaralalana,Moramanga,,,,
619,05-Nov-19,cat,,Mimi,F,5,50,Tsaralalana,Tsaralalana,Moramanga,,,,
620,05-Nov-19,cat,,Mimi,F,5,50,Tsaralalana,Tsaralalana,Moramanga,,,,
621,05-Nov-19,cat,,Mignone,F,5,800,Tsaralalana,Tsaralalana,Moramanga,,,,
622,06-Nov-19,cat,,Minou,M,24,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
623,06-Nov-19,cat,,Mimi,M,120,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
624,06-Nov-19,dog,Billy,,F,48,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
625,06-Nov-19,dog,Bil,,M,24,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
626,06-Nov-19,dog,Boule,,F,7,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
627,06-Nov-19,cat,,Mogly,F,6,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
628,06-Nov-19,cat,,Wendy,M,6,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
629,06-Nov-19,cat,,Merci,F,6,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
630,06-Nov-19,cat,,Ketoule,M,24,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
631,06-Nov-19,dog,Milou,,M,12,,Tsarahonenana,Tsarahonenana,Moramanga,,,,
632,06-Nov-19,cat,,Mimi,M,36,,Tsarahonenana,Tsarahonenana,Moramanga,YES,19,01-Apr-18,
633,06-Nov-19,cat,,Bota,M,18,10,Tsarahonenana,Tsarahonenana,Moramanga,,,,
634,06-Nov-19,dog,Milou,,M,84,1000,Tsarahonenana,Tsarahonenana,Moramanga,YES,19,01-Apr-18,
635,06-Nov-19,dog,Polo,,F,24,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
636,06-Nov-19,dog,Pinou,,F,11,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
637,06-Nov-19,cat,,Minette,F,6,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
638,06-Nov-19,dog,Paty,,M,96,500,Tsarahonenana,Tsarahonenana,Moramanga,,,,
639,06-Nov-19,dog,Pitou,,F,12,500,Tsarahonenana,Tsarahonenana,Moramanga,,,,
640,06-Nov-19,cat,,Mims,F,7,500,Tsarahonenana,Tsarahonenana,Moramanga,,,,
641,06-Nov-19,cat,,Mimi,F,4,20,Tsarahonenana,Tsarahonenana,Moramanga,,,,
642,06-Nov-19,cat,,Mavo,F,12,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
643,06-Nov-19,dog,Koropoka,,M,12,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
644,06-Nov-19,cat,,Minah,F,8,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
645,06-Nov-19,cat,,Minou,F,18,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
646,06-Nov-19,dog,Balou,,M,12,300,Tsarahonenana,Tsarahonenana,Moramanga,,,,
647,06-Nov-19,dog,Milou,,F,36,100,Tsarahonenana,Tsarahonenana,Moramanga,YES,19,01-Apr-18,
648,06-Nov-19,dog,Balou,,F,11,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
649,06-Nov-19,dog,Tilou,,M,12,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
650,06-Nov-19,dog,Kim,,F,4,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
651,06-Nov-19,dog,Rocky,,M,4,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
652,06-Nov-19,cat,,Mimi,F,24,300,Tsarahonenana,Tsarahonenana,Moramanga,YES,19,01-Apr-18,
653,06-Nov-19,cat,,Mimi,M,12,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
654,06-Nov-19,cat,,Mimi,F,24,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
655,06-Nov-19,dog,Boule,,M,4,500,Tsarahonenana,Tsarahonenana,Moramanga,,,,
656,06-Nov-19,cat,,Mimi,M,12,500,Tsarahonenana,Tsarahonenana,Moramanga,,,,
657,06-Nov-19,dog,Milou,,M,48,300,Tsarahonenana,Tsarahonenana,Moramanga,,,,
658,06-Nov-19,dog,Boule,,M,48,10,Tsarahonenana,Tsarahonenana,Moramanga,YES,17,01-Jun-18,
659,06-Nov-19,dog,Rex,,M,18,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
660,06-Nov-19,dog,Bil,,M,4,1000,Tsarahonenana,Tsarahonenana,Moramanga,,,,
661,06-Nov-19,dog,Bobby,,M,60,300,Tsarahonenana,Tsarahonenana,Moramanga,YES,19,01-Apr-18,
662,06-Nov-19,dog,Milou,,M,60,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
663,06-Nov-19,dog,Bobby,,M,24,100,Tsarahonenana,Tsarahonenana,Moramanga,,,,
664,06-Nov-19,dog,Rox,,M,7,400,Tsarahonenana,Tsarahonenana,Moramanga,,,,
665,06-Nov-19,dog,Blood,,M,11,200,Tsarahonenana,Tsarahonenana,Moramanga,,,,
666,06-Nov-19,dog,Mavo,,M,24,500,Tsarahonenana,Tsarahonenana,Moramanga,YES,17,01-Jun-18,
667,06-Nov-19,dog,Radis,,F,120,300,Tsarahonenana,Tsarahonenana,Moramanga,YES,19,01-Apr-18,
668,06-Nov-19,dog,Loupita,,F,96,300,Tsarahonenana,Tsarahonenana,Moramanga,YES,19,01-Apr-18,
669,06-Nov-19,dog,Pitou,,M,5,0,Tsarahonenana,Tsarahonenana,Moramanga,,,,
670,06-Nov-19,dog,Loulou,,M,5,0,Tsarahonenana,Tsarahonenana,Moramanga,,,,
671,06-Nov-19,dog,Milou,,F,5,0,Tsarahonenana,Tsarahonenana,Moramanga,,,,
672,06-Nov-19,dog,Milou,,F,10,300,Tsarahonenana,Tsarahonenana,Moramanga,,,,
673,06-Nov-19,dog,Bobby,,F,7,200,Tsarahonenana,Tsarahonenana,Moramanga,,,,
674,06-Nov-19,dog,Rocky,,M,36,400,Tsarahonenana,Tsarahonenana,Moramanga,YES,19,01-Apr-18,
675,06-Nov-19,dog,Blacky,,M,72,10,Tsarahonenana,Tsarahonenana,Moramanga,,,,
676,08-Nov-19,dog,Poussi,,F,24,500,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
677,08-Nov-19,dog,Milou,,M,10,500,Ambarilava,Ambarilava,Moramanga,,,,
678,08-Nov-19,dog,Black,,M,14,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
679,08-Nov-19,dog,Toto,,M,4,800,Ambarilava,Ambarilava,Moramanga,,,,
680,08-Nov-19,dog,Toto,,M,4,800,Ambarilava,Ambarilava,Moramanga,,,,
681,08-Nov-19,dog,Toto,,M,4,800,Ambarilava,Ambarilava,Moramanga,,,,
682,08-Nov-19,dog,Toto,,F,4,800,Ambarilava,Ambarilava,Moramanga,,,,
683,08-Nov-19,dog,Milou,,F,6,400,Ambarilava,Ambarilava,Moramanga,,,,
684,08-Nov-19,dog,Mailo,,M,24,800,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
685,08-Nov-19,dog,Dex,,M,24,100,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
686,08-Nov-19,dog,Boule,,F,5,100,Ambarilava,Ambarilava,Moramanga,,,,
687,08-Nov-19,dog,Fox,,F,24,700,Ambarilava,Ambarilava,Moramanga,,,,
688,08-Nov-19,dog,Rasta,,M,48,700,Ambarilava,Ambarilava,Moramanga,,,,
689,08-Nov-19,dog,Bil,,M,96,500,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
690,08-Nov-19,dog,Bilitika,,M,60,500,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
691,08-Nov-19,dog,Loulou,,F,7,1000,Ambarilava,Ambarilava,Moramanga,,,,
692,08-Nov-19,dog,Ma puce,,M,5,400,Ambarilava,Ambarilava,Moramanga,,,,
693,08-Nov-19,dog,Rocky,,M,10,200,Ambahibe,Ambarilava,Moramanga,,,,
694,08-Nov-19,cat,,Mimi,F,6,200,Ambahibe,Ambarilava,Moramanga,,,,
695,08-Nov-19,dog,Rex,,F,6,800,Ambarilava,Ambarilava,Moramanga,,,,
696,08-Nov-19,dog,Sissi,,F,12,800,Ambahibe,Ambarilava,Moramanga,,,,
697,08-Nov-19,dog,Bobby,,M,14,800,Ambahibe,Ambarilava,Moramanga,,,,
698,08-Nov-19,dog,Milou,,F,24,1000,Ambahibe,Ambarilava,Moramanga,,,,
699,08-Nov-19,dog,Fleche,,M,12,1000,Bemasoandro,Ambarilava,Moramanga,,,,
700,08-Nov-19,dog,Booby,,M,24,200,Ambahibe,Ambarilava,Moramanga,YES,19,01-Apr-18,
701,08-Nov-19,dog,Bill,,M,120,750,Camp des marie,Ambarilava,Moramanga,YES,19,01-Apr-18,
702,08-Nov-19,dog,Rocky,,F,3,1000,Ambarilava,Ambarilava,Moramanga,,,,
703,08-Nov-19,dog,Blacky,,M,12,500,Ambahibe,Ambarilava,Moramanga,,,,
704,08-Nov-19,dog,Boby,,M,12,1000,Bemasoandro,Ambarilava,Moramanga,,,,
705,08-Nov-19,dog,Bull dog,,M,72,2000,Ambodiakondro,Ambarilava,Moramanga,YES,18,13-Apr-18,
706,08-Nov-19,dog,Bordeaux,,F,36,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
707,08-Nov-19,dog,Bobie,,M,7,400,Ambarilava,Ambarilava,Moramanga,,,,
708,08-Nov-19,dog,Blacky,,M,12,400,Bemasoandro,Ambarilava,Moramanga,,,,
709,08-Nov-19,dog,Rocky,,F,7,400,Bemasoandro,Ambarilava,Moramanga,,,,
710,08-Nov-19,dog,Dogli,,F,4,1000,Ambarilava,Ambarilava,Moramanga,,,,
711,08-Nov-19,dog,Binny,,F,12,700,Ambarilava,Ambarilava,Moramanga,,,,
712,08-Nov-19,dog,Zimba,,M,24,700,Ambarilava,Ambarilava,Moramanga,,,,
713,08-Nov-19,dog,Tonga ho azy,,F,6,700,Ambarilava,Ambarilava,Moramanga,,,,
714,08-Nov-19,dog,Sitou,,F,12,100,Ambarilava,Ambarilava,Moramanga,,,,
715,08-Nov-19,dog,Milou,,M,12,700,Ambarilava,Ambarilava,Moramanga,,,,
716,08-Nov-19,dog,Bouba,,M,10,700,Ambarilava,Ambarilava,Moramanga,,,,
717,08-Nov-19,dog,Trixi,,M,48,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
718,08-Nov-19,dog,Jeje,,M,18,1000,Ambarilava,Ambarilava,Moramanga,,,,
719,08-Nov-19,cat,,Indri,M,12,1000,Ambarilava,Ambarilava,Moramanga,,,,
720,08-Nov-19,dog,Boule,,M,48,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
721,08-Nov-19,dog,Bingo,,M,24,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
722,08-Nov-19,dog,Milou,,M,4,1000,Ambarilava,Ambarilava,Moramanga,,,,
723,08-Nov-19,dog,Roxy,,F,12,1000,Ambarilava,Ambarilava,Moramanga,,,,
724,08-Nov-19,dog,Bull d'or,,M,12,1000,Ambarilava,Ambarilava,Moramanga,,,,
725,08-Nov-19,cat,,Mimi,M,7,1000,Ambarilava,Ambarilava,Moramanga,,,,
726,08-Nov-19,dog,Bobby,,M,24,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
727,08-Nov-19,dog,Rocky,,M,12,900,Ambarilava,Ambarilava,Moramanga,,,,
728,08-Nov-19,dog,Booby,,M,48,900,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
729,08-Nov-19,dog,Micky,,M,24,800,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
730,08-Nov-19,dog,Milou,,F,7,700,Ambarilava,Ambarilava,Moramanga,,,,
731,08-Nov-19,dog,Fotsy kely,,M,96,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
732,08-Nov-19,dog,Poutsy,,F,12,1000,Ambarilava,Ambarilava,Moramanga,,,,
733,08-Nov-19,dog,Doudoune,,F,24,1000,Ambarilava,Ambarilava,Moramanga,,,,
734,08-Nov-19,dog,Pitou,,M,24,1000,Ambarilava,Ambarilava,Moramanga,,,,
735,08-Nov-19,dog,Moli,,F,12,1000,Ambarilava,Ambarilava,Moramanga,,,,
736,08-Nov-19,dog,Poussi,,F,5,100,Ambarilava,Ambarilava,Moramanga,,,,
737,08-Nov-19,dog,Minoh,,F,12,100,Ambarilava,Ambarilava,Moramanga,,,,
738,08-Nov-19,dog,Patchou,,M,36,700,Ambarilava,Ambarilava,Moramanga,,,,
739,08-Nov-19,dog,Black,,F,36,200,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
740,08-Nov-19,dog,Poussy,,F,36,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
741,08-Nov-19,dog,Boum,,M,9,1000,Ambarilava,Ambarilava,Moramanga,,,,
742,08-Nov-19,dog,Vanga,,F,24,700,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
743,08-Nov-19,dog,Mafelaka,,F,8,700,Ambarilava,Ambarilava,Moramanga,,,,
744,08-Nov-19,dog,Mirror,,M,24,,Ambahibe,Ambarilava,Moramanga,YES,19,01-Apr-18,
745,08-Nov-19,dog,Blacky,,M,72,,Ambahibe,Ambarilava,Moramanga,YES,19,01-Apr-18,
746,08-Nov-19,dog,Pitchou,,M,12,150,Ambarilava,Ambarilava,Moramanga,,,,
747,08-Nov-19,dog,Kapsily,,F,24,100,Ambahibe,Ambarilava,Moramanga,YES,19,01-Apr-18,
748,08-Nov-19,dog,Black,,F,36,100,Ambahibe,Ambarilava,Moramanga,YES,19,01-Apr-18,
749,08-Nov-19,dog,Pitou,,M,3,100,Ambahibe,Ambarilava,Moramanga,,,,
750,08-Nov-19,dog,Topie,,M,3,100,Ambahibe,Ambarilava,Moramanga,,,,
751,08-Nov-19,dog,Rex,,F,36,1000,Ambahibe,Ambarilava,Moramanga,,,,
752,08-Nov-19,dog,Patou,,F,3,150,Ambahibe,Ambarilava,Moramanga,,,,
753,08-Nov-19,dog,Pirate,,M,4,250,Ambahibe,Ambarilava,Moramanga,,,,
754,08-Nov-19,dog,milou,,F,12,1000,Bemasoandro,Ambarilava,Moramanga,,,,
755,08-Nov-19,dog,Yolah,,F,10,350,Ambahibe,Ambarilava,Moramanga,,,,
756,08-Nov-19,dog,Blacky,,F,18,1000,Bemasoandro,Ambarilava,Moramanga,,,,
757,08-Nov-19,dog,Jasmine,,F,18,750,Camp des marie,Ambarilava,Moramanga,,,,
758,08-Nov-19,dog,Pongo,,F,18,500,Ambahibe,Ambarilava,Moramanga,,,,
759,08-Nov-19,dog,Maintivava,,M,24,1000,Ambahibe,Ambarilava,Moramanga,YES,19,01-Apr-18,
760,08-Nov-19,dog,milou,,M,72,100,Ambahibe,Ambarilava,Moramanga,YES,18,14-Apr-18,
761,08-Nov-19,dog,Booby,,M,4,700,Ambarilava,Ambarilava,Moramanga,,,,
762,08-Nov-19,dog,Maromaso,,F,72,300,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
763,08-Nov-19,dog,Choupie,,F,4,1000,Ambarilava,Ambarilava,Moramanga,,,,
764,08-Nov-19,dog,Milou,,F,24,1000,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
765,08-Nov-19,cat,,Papy,F,24,200,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
766,08-Nov-19,cat,,Klin,F,12,200,Ambarilava,Ambarilava,Moramanga,,,,
767,08-Nov-19,cat,,Minou,F,10,200,Ambarilava,Ambarilava,Moramanga,,,,
768,08-Nov-19,cat,,Mimi,F,24,200,Ambarilava,Ambarilava,Moramanga,,,,
769,08-Nov-19,cat,,Mavo,F,9,300,Ambarilava,Ambarilava,Moramanga,,,,
770,08-Nov-19,cat,,Trois cool,F,24,300,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
771,08-Nov-19,cat,,Pounie,M,36,1000,Ambarilava,Ambarilava,Moramanga,,,,
772,08-Nov-19,cat,,Piso,F,7,1000,Ambarilava,Ambarilava,Moramanga,,,,
773,08-Nov-19,cat,,Minette,F,24,700,Ambarilava,Ambarilava,Moramanga,,,,
774,08-Nov-19,cat,,Mi kely,F,36,200,Ambarilava,Ambarilava,Moramanga,,,,
775,08-Nov-19,cat,,Ben,M,14,250,Ambahibe,Ambarilava,Moramanga,,,,
776,08-Nov-19,cat,,Minou,F,24,250,Ambahibe,Ambarilava,Moramanga,,,,
777,08-Nov-19,cat,,Mira,F,14,250,Ambahibe,Ambarilava,Moramanga,,,,
778,08-Nov-19,cat,,Poussi,F,11,800,Ambahibe,Ambarilava,Moramanga,,,,
779,08-Nov-19,cat,,Minette,F,12,500,Ambahibe,Ambarilava,Moramanga,,,,
780,08-Nov-19,cat,,mimi,M,36,300,Ambahibe,Ambarilava,Moramanga,YES,19,01-Apr-18,
781,08-Nov-19,cat,,Chichi,F,10,100,Ambahibe,Ambarilava,Moramanga,,,,
782,08-Nov-19,cat,,Minette,F,60,400,Ambahibe,Ambarilava,Moramanga,YES,31,01-Apr-17,
783,08-Nov-19,cat,,Poussissy,M,4,700,Ambarilava,Ambarilava,Moramanga,,,,
784,08-Nov-19,cat,,Miah,F,48,300,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
785,08-Nov-19,cat,,Cathy,F,24,1000,Ambarilava,Ambarilava,Moramanga,,,,
786,08-Nov-19,cat,,Minou,F,10,1000,Ambarilava,Ambarilava,Moramanga,,,,
787,08-Nov-19,cat,,Mimi,M,12,900,Ambarilava,Ambarilava,Moramanga,,,,
788,08-Nov-19,cat,,Pie gris,M,12,500,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
789,08-Nov-19,dog,Bobie,,F,8,300,Ambahibe,Ambarilava,Moramanga,,,,
790,08-Nov-19,dog,Milou,,F,8,300,Ambahibe,Ambarilava,Moramanga,,,,
791,08-Nov-19,cat,,Mimi,F,6,300,Ambahibe,Ambarilava,Moramanga,,,,
792,08-Nov-19,cat,,Mimi,F,6,300,Ambahibe,Ambarilava,Moramanga,,,,
793,08-Nov-19,cat,,Saka,F,24,300,Ambahibe,Ambarilava,Moramanga,,,,
794,08-Nov-19,dog,Balto,,M,48,700,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
795,08-Nov-19,cat,,Mimi,F,24,700,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
796,08-Nov-19,dog,Galaxe,,M,5,800,Ambarilava,Ambarilava,Moramanga,,,,
797,08-Nov-19,cat,,Minou,F,24,800,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
798,08-Nov-19,dog,Scooubi,,F,3,400,Ambahibe,Ambarilava,Moramanga,,,,
799,08-Nov-19,cat,,Poussi,M,4,400,Ambahibe,Ambarilava,Moramanga,,,,
800,08-Nov-19,cat,,Minou,M,5,400,Ambahibe,Ambarilava,Moramanga,,,,
801,08-Nov-19,dog,Nicky,,F,3,100,Ambahibe,Ambarilava,Moramanga,,,,
802,08-Nov-19,cat,,Mimi,M,12,100,Ambahibe,Ambarilava,Moramanga,,,,
803,08-Nov-19,cat,,Mimi,M,6,100,Ambahibe,Ambarilava,Moramanga,,,,
804,08-Nov-19,cat,,Minou,F,9,250,Ambahibe,Ambarilava,Moramanga,,,,
805,08-Nov-19,dog,Sitou,,M,22,250,Ambahibe,Ambarilava,Moramanga,YES,19,01-Apr-18,
806,09-Nov-19,dog,Bobby,,M,12,700,Ambarilava,Ambarilava,Moramanga,,,,
807,09-Nov-19,dog,Tosy,,F,12,700,Ambarilava,Ambarilava,Moramanga,,,,
808,09-Nov-19,dog,Bloum,,M,12,1000,Ambarilava,Ambarilava,Moramanga,,,,
809,09-Nov-19,dog,Baloum,,F,5,1000,Ambarilava,Ambarilava,Moramanga,,,,
810,09-Nov-19,dog,Tox,,M,24,200,Ambarilava,Ambarilava,Moramanga,,,,
811,09-Nov-19,dog,Tocky,,F,6,200,Ambarilava,Ambarilava,Moramanga,,,,
812,09-Nov-19,dog,Toby,,F,8,700,Ambarilava,Ambarilava,Moramanga,,,,
813,09-Nov-19,dog,Pitou,,M,6,50,Ambarilava,Ambarilava,Moramanga,,,,
814,09-Nov-19,dog,Bobby,,M,7,900,Ambarilava,Ambarilava,Moramanga,,,,
815,09-Nov-19,dog,Pota,,M,5,1000,Ambarilava,Ambarilava,Moramanga,,,,
816,09-Nov-19,dog,Bobby,,F,48,500,Ambarilava,Ambarilava,Moramanga,YES,19,01-Apr-18,
817,09-Nov-19,dog,Milou,,M,5,300,Ambarilava,Ambarilava,Moramanga,,,,
818,09-Nov-19,dog,Micky,,M,12,500,Ambarilava,Ambarilava,Moramanga,,,,
819,09-Nov-19,dog,Blacky,,F,12,500,Ambarilava,Ambarilava,Moramanga,,,,
820,09-Nov-19,dog,Mavo,,M,24,1000,Ambarilava,Ambarilava,Moramanga,,,,
821,09-Nov-19,dog,Vanga,,M,12,100,Ambarilava,Ambarilava,Moramanga,,,,
